Supermercado,Categoría,precio,descuento,brand,description,imagen
Vea,Electro,$59.999,"$50.999,15",NOBLEX,Led Noblex 32 Smart ,https://discoargentina.vtexassets.com/arquivos/ids/773662-500-auto?v=1765396357&width=500&height=auto&aspect=true
Vea,Electro,$193.999,"$164.899,15",CANDY,Lavarropas Candy Carga Superior Cvst810t 8k ,https://discoargentina.vtexassets.com/arquivos/ids/502766-500-auto?v=1765400042&width=500&height=auto&aspect=true
Vea,Electro,$132.999,"$119.699,1",GAFA,"Lavarropas Gafa Digi Fit Blanco 6,5kg ",https://discoargentina.vtexassets.com/arquivos/ids/680575-500-auto?v=1765392960&width=500&height=auto&aspect=true
Vea,Electro,$133.359,"$120.023,1",ORBIS,Cocina Orbis Serie 3 958bc3m Blanco ,https://discoargentina.vtexassets.com/arquivos/ids/642523-500-auto?v=1765392941&width=500&height=auto&aspect=true
Vea,Electro,$39.999,"$33.999,15",PHILCO,Microondas Philco Mpr8520n ,https://discoargentina.vtexassets.com/arquivos/ids/199086-500-auto?v=1765392651&width=500&height=auto&aspect=true
Vea,Electro,$38.499,"$34.649,1",GOLDSTAR,Aspiradora Ciclónica Goldstar Gld-36 ,https://discoargentina.vtexassets.com/arquivos/ids/741113-500-auto?v=1765396452&width=500&height=auto&aspect=true
Vea,Electro,$3.199,"$2.719,15",CANON,Botella De Tinta Yellow Canon Gi-190 Bk ,https://discoargentina.vtexassets.com/arquivos/ids/606043-500-auto?v=1765387590&width=500&height=auto&aspect=true
Vea,Electro,$10.589,,LILIANA,Tostadora Liliana At900 ,https://discoargentina.vtexassets.com/arquivos/ids/594565-500-auto?v=1765382176&width=500&height=auto&aspect=true
Vea,Electro,$999,"$699,3",NEX,Auricular Nex In Ear Adie3370bk ,https://discoargentina.vtexassets.com/arquivos/ids/678066-500-auto?v=1765400012&width=500&height=auto&aspect=true
Vea,Electro,$125.999,"$107.099,15",NOBLEX,Led Noblex 50 Smart Dk50x6550 ,https://discoargentina.vtexassets.com/arquivos/ids/773664-500-auto?v=1765391285&width=500&height=auto&aspect=true
Vea,Electro,$61.599,"$52.359,15",BGH,Microondas Bgh Bifuncion Digital 28 L B228db9 - Blanco ,https://discoargentina.vtexassets.com/arquivos/ids/565151-500-auto?v=1765374389&width=500&height=auto&aspect=true
Vea,Electro,$85.699,,SMARTLIFE,Aspiradora Robot Smartlife Sl-rvc0136131016900 ,https://discoargentina.vtexassets.com/arquivos/ids/716584-500-auto?v=1765392964&width=500&height=auto&aspect=true
Vea,Electro,$5.299,"$4.239,2",STROMBERG,Radio Stromberg Ra-2011 Am-fm Analogica ,https://discoargentina.vtexassets.com/arquivos/ids/642123-500-auto?v=1765345895&width=500&height=auto&aspect=true
Vea,Electro,$57.764,"$51.987,6",KO-HI-NOOR,Secarropas Centr¡fugo Kohinoor Acero Inoxidable 6.5 Kg ,https://discoargentina.vtexassets.com/arquivos/ids/526687-500-auto?v=1765399084&width=500&height=auto&aspect=true
Vea,Electro,$52.999,,MOTOROLA,Celular Motorola E40 Rosa ,https://discoargentina.vtexassets.com/arquivos/ids/687346-500-auto?v=1765392888&width=500&height=auto&aspect=true
Vea,Electro,$46.999,,MOTOROLA,Celular Moto E22 Azul ,https://discoargentina.vtexassets.com/arquivos/ids/762705-500-auto?v=1765365638&width=500&height=auto&aspect=true
Vea,Electro,$74.999,"$67.499,1",DAEWOO,Termotanque Daewoo 40l Dw-hwtc40wr ,https://discoargentina.vtexassets.com/arquivos/ids/754225-500-auto?v=1765374010&width=500&height=auto&aspect=true
Vea,Electro,$103.999,"$83.199,2",BOSE,Parlante Bluetooth Bose Soundlink Flex Negro ,https://discoargentina.vtexassets.com/arquivos/ids/700452-500-auto?v=1765204513&width=500&height=auto&aspect=true
Vea,Electro,$11.499,"$9.199,2",LENOVO,Auriculares Lenovo Xt85 Blanco ,https://discoargentina.vtexassets.com/arquivos/ids/751986-500-auto?v=1765392975&width=500&height=auto&aspect=true
Vea,Electro,$219.999,,MOTOROLA,Celular Moto Edge 30 Fusion Negro ,https://discoargentina.vtexassets.com/arquivos/ids/761972-500-auto?v=1765301583&width=500&height=auto&aspect=true
Vea,Electro,$58.199,"$52.379,1",WHIRLPOOL,Purificador Whirlpool Wab60bb ,https://discoargentina.vtexassets.com/arquivos/ids/463392-500-auto?v=1765374009&width=500&height=auto&aspect=true
Vea,Electro,$150.999,"$128.349,15",HYUNDAI,Led 50' Hyunda Hyled-50uhd5a ,https://discoargentina.vtexassets.com/arquivos/ids/624352-500-auto?v=1765373162&width=500&height=auto&aspect=true
Vea,Electro,$9.749,,GA.MA,Plancha Para Pelo Ga.ma Elegance Bella Tourmaline ,https://discoargentina.vtexassets.com/arquivos/ids/545984-500-auto?v=1765400024&width=500&height=auto&aspect=true
Vea,Electro,$11.659,"$9.327,2",LILIANA,"Pava Electrica Liliana Ap175b 1,7l ",https://discoargentina.vtexassets.com/arquivos/ids/663764-500-auto?v=1765374867&width=500&height=auto&aspect=true
Vea,Electro,$219.999,,MOTOROLA,Celular Moto Edge 30 Fusion Control Azul ,https://discoargentina.vtexassets.com/arquivos/ids/770746-500-auto?v=1765384256&width=500&height=auto&aspect=true
Vea,Electro,$70.205,,ESKABE,Calefactor Eskabe Sin Salida - S21 Mx5 P ,https://discoargentina.vtexassets.com/arquivos/ids/697041-500-auto?v=1765313460&width=500&height=auto&aspect=true
Vea,Electro,$33.999,,LILIANA,Convector Tecnohot 1100/2200 W. ,https://discoargentina.vtexassets.com/arquivos/ids/455676-500-auto?v=1765375278&width=500&height=auto&aspect=true
Vea,Electro,$24.455,$19.564,LILIANA,Mixer Con Batidor Liliana Ah730 ,https://discoargentina.vtexassets.com/arquivos/ids/179940-500-auto?v=1765374838&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$16.999,,ALPES,Carpa 4p Dome Iii Galapagos ,https://discoargentina.vtexassets.com/arquivos/ids/772547-500-auto?v=1765394709&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$21.999,"$8.799,6",NEW CLOR,"Mango Telescopico Newclor 3,60mt ",https://discoargentina.vtexassets.com/arquivos/ids/565698-500-auto?v=1765380085&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$339,"$203,4",SIN MARCA,Lápiz Corrector Taiko ,https://discoargentina.vtexassets.com/arquivos/ids/575167-500-auto?v=1765401633&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$999,"$399,6",Outzen,Maceta Plast Capri Outzen 18cm Menta ,https://discoargentina.vtexassets.com/arquivos/ids/617280-500-auto?v=1765396289&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$549,"$329,4",PELIKAN,Marcador Pelikan X 1 Un Pintaloco 41-520-012 Bli 1 Un. ,https://discoargentina.vtexassets.com/arquivos/ids/623848-500-auto?v=1765399835&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$595,$357,SP,Marcador Largo Al Agua X 10 U Colores Surtidos ,https://discoargentina.vtexassets.com/arquivos/ids/575199-500-auto?v=1765398910&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$1.499,"$599,6",SD,Fertilizante Fertifox Potenciado  Bot 200 Cc. ,https://discoargentina.vtexassets.com/arquivos/ids/505112-500-auto?v=1765396995&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$273,"$163,8",PELIKAN,Marcador Pelikan X 6 Un ,https://discoargentina.vtexassets.com/arquivos/ids/623849-500-auto?v=1765399878&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$799,"$319,6",ILUMINARTE,Veloncito Vintage Iluminarte X3 ,https://discoargentina.vtexassets.com/arquivos/ids/550797-500-auto?v=1765398170&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$1.299,,SIN MARCA,Paragua Largo 2 Colores   X 1 U ,https://discoargentina.vtexassets.com/arquivos/ids/691481-500-auto?v=1765322674&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$7.990,$3.999,SIN MARCA,Mochila Basica Gris ,https://discoargentina.vtexassets.com/arquivos/ids/766610-500-auto?v=1765396542&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$11.999,"$10.199,15",SIN MARCA,Triciclo Moto Z Azul ,https://discoargentina.vtexassets.com/arquivos/ids/605996-500-auto?v=1765374399&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$1.699,,GUADAL,Coleccion Mi Primer Libro De - Guadal ,https://discoargentina.vtexassets.com/arquivos/ids/772778-500-auto?v=1765387805&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$1.399,,GUADAL,Colección Superdinosaurios 2- Guadal ,https://discoargentina.vtexassets.com/arquivos/ids/761575-500-auto?v=1765382280&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$2.299,"$919,6",GREEN AGE,Urea Terrafertil 800 Gr Bsa ,https://discoargentina.vtexassets.com/arquivos/ids/497751-500-auto?v=1765389879&width=500&height=auto&aspect=true
Vea,Carnes,$1.359,,FRESH MP,Carre De Cerdo Con Hueso Fresco X Kg ,https://discoargentina.vtexassets.com/arquivos/ids/720670-500-auto?v=1765398857&width=500&height=auto&aspect=true
Vea,Carnes,$2.819,,SIN MARCA,Milanesa Nalga ,https://discoargentina.vtexassets.com/arquivos/ids/676758-500-auto?v=1765401772&width=500&height=auto&aspect=true
Vea,Carnes,$2.779,,SIN MARCA,Asado Del Centro ,https://discoargentina.vtexassets.com/arquivos/ids/672963-500-auto?v=1765401779&width=500&height=auto&aspect=true
Vea,Carnes,$955,,DOINA,Chorizo X4 - Doina ,https://discoargentina.vtexassets.com/arquivos/ids/424321-500-auto?v=1765401770&width=500&height=auto&aspect=true
Vea,Carnes,$1.749,,SIN MARCA,Cuadril Trozo ,https://discoargentina.vtexassets.com/arquivos/ids/672947-500-auto?v=1765401765&width=500&height=auto&aspect=true
Vea,Carnes,$1.945,,PALADINI,Morcilla Dulce Paladini Al Vacio X Kg ,https://discoargentina.vtexassets.com/arquivos/ids/603201-500-auto?v=1765401948&width=500&height=auto&aspect=true
Vea,Carnes,$1.105,,MAGRET,Chorizo Fresco Con Jamón X 4 400 Gr - Magret ,https://discoargentina.vtexassets.com/arquivos/ids/535738-500-auto?v=1765402002&width=500&height=auto&aspect=true
Vea,Carnes,$319,,HUMOS,Iniciador De Fuego Humos X 6u ,https://discoargentina.vtexassets.com/arquivos/ids/674070-500-auto?v=1765396728&width=500&height=auto&aspect=true
Vea,Carnes,$1.465,,CABAÑA LA CRIOLLA,Chorizo Fresco Familiar - Cabaña La Criolla ,https://discoargentina.vtexassets.com/arquivos/ids/616708-500-auto?v=1765401764&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$699,,SIN MARCA,Manzana Roja Por Kg ,https://discoargentina.vtexassets.com/arquivos/ids/472481-500-auto?v=1765401657&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$449,,SIN MARCA,Pepino Por Kg ,https://discoargentina.vtexassets.com/arquivos/ids/242854-500-auto?v=1765401885&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,"$1.445,89",,AVICOPER,Huevos Blancos Avicoper 30 U ,https://discoargentina.vtexassets.com/arquivos/ids/195441-500-auto?v=1765402640&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$749,,SIN MARCA,Pimiento Amarillo Por Kg ,https://discoargentina.vtexassets.com/arquivos/ids/180107-500-auto?v=1765401952&width=500&height=auto&aspect=true
