Supermercado,Categoría,precio,descuento,brand,description,imagen
Vea,Congelados,"$760,7",,SWIFT,Hamburguesa Clasica Xl Swift 2 U - 250 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/769179-500-auto?v=1765233948&width=500&height=auto&aspect=true
Vea,Congelados,"$838,56",,Sei Tu,Multipack Palito Agua Frutilla X 75 Gr. ,https://veaargentina.vtexassets.com/arquivos/ids/701425-500-auto?v=1765232573&width=500&height=auto&aspect=true
Vea,Congelados,"$619,5",,SWIFT,Medallones De Pollo Swift 320 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/471632-500-auto?v=1765233662&width=500&height=auto&aspect=true
Vea,Congelados,"$385,9",,VEGETALEX,Milanesa De Soja Vegetalex Cebolla + Fibra 340 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/536929-500-auto?v=1765233682&width=500&height=auto&aspect=true
Vea,Congelados,"$1.580,53",,Sei Tu,Mini Torta Cookies Seitu 6u   560gr ,https://veaargentina.vtexassets.com/arquivos/ids/696186-500-auto?v=1765212955&width=500&height=auto&aspect=true
Vea,Congelados,"$1.406,44",,Sei Tu,Postres Helado Sei T£ Light Tricolor 640 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/622688-500-auto?v=1765212718&width=500&height=auto&aspect=true
Vea,Congelados,"$380,09",,LUCCHETTI,Milanesas De Soja Lucchetti 290g ,https://veaargentina.vtexassets.com/arquivos/ids/771618-500-auto?v=1765221062&width=500&height=auto&aspect=true
Vea,Congelados,"$680,19",,GRANJA DEL SOL,Milanesa De Soja Granja Del Sol Con Espinaca 330g ,https://veaargentina.vtexassets.com/arquivos/ids/771615-500-auto?v=1765222595&width=500&height=auto&aspect=true
Vea,Panadería y Repostería,$299,,SIN MARCA,Pepitas De Batata Peso Aprox 250grs ,https://veaargentina.vtexassets.com/arquivos/ids/650521-500-auto?v=1765233793&width=500&height=auto&aspect=true
Vea,Panadería y Repostería,$269,$229,FRESH MP,Muffin Vainilla ,https://veaargentina.vtexassets.com/arquivos/ids/529018-500-auto?v=1765233829&width=500&height=auto&aspect=true
Vea,Panadería y Repostería,$2.018,,FRESH MP,Bud¡n H£medo De Chocolate 1 U ,https://veaargentina.vtexassets.com/arquivos/ids/535751-500-auto?v=1765216298&width=500&height=auto&aspect=true
Vea,Comidas Preparadas,$3.999,,LA COCINA,Milanesa De Novillito Por Kg ,https://veaargentina.vtexassets.com/arquivos/ids/427897-500-auto?v=1765229942&width=500&height=auto&aspect=true
Vea,Comidas Preparadas,$2.199,,LA COCINA,Ensalada Cheff X Kg   Bja 1 Kg ,https://veaargentina.vtexassets.com/arquivos/ids/473028-500-auto?v=1765234633&width=500&height=auto&aspect=true
