market,category,currency,descripcion_producto,precio_producto,precio_promocion,descripcion_promocion,imagen
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Medallones de quinoa Nutree con lentejas, puerro y zanahoria 4 u. </span>","$ 578,00",,,https://carrefourar.vtexassets.com/arquivos/ids/179400-170-170?v=1765376744&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Tostadas Tosti sin sal 140 g. </span>","$ 282,00",,,https://carrefourar.vtexassets.com/arquivos/ids/183150-170-170?v=1765372101&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galletas crackers marineras Carrefour sin sal 330 g. </span>","$ 228,60$ 254,00","$ 228,60c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/176427-170-170?v=1765382771&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Barrita de semillas Zafrán almendras y coco 3 x 28 g. sin TACC </span>","$ 427,00",,,https://carrefourar.vtexassets.com/arquivos/ids/262132-170-170?v=1765384923&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Sal fina light Genser salero bajo sodio 300 g. </span>","$ 639,00",,,https://carrefourar.vtexassets.com/arquivos/ids/197076-170-170?v=1765373830&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galletas crackers Smams 150 g. sin TACC </span>","$ 271,00",,,https://carrefourar.vtexassets.com/arquivos/ids/176574-170-170?v=1765374077&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Tostadas sin sal Tosti 200 g. </span>","$ 214,00",,,https://carrefourar.vtexassets.com/arquivos/ids/183132-170-170?v=1765383851&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Salchicha parrillera Carrefour sin TACC envasada al vacío x kg. </span>","$ 1.600,00",,,https://carrefourar.vtexassets.com/arquivos/ids/253824-170-170?v=1765383830&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Morcilla tipo criolla Magret sin TACC 400 g. </span>","$ 692,00",,,https://carrefourar.vtexassets.com/arquivos/ids/170145-170-170?v=1765384813&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Azúcar impalpable Pergola 250 g. sin TACC </span>","$ 77,25$ 103,00","$ 77,25c/u",2do al 50% Mi Crf Max 6 Unidades combinable,https://carrefourar.vtexassets.com/arquivos/ids/188349-170-170?v=1765385486&width=170&height=170&aspect=true
